ESN,Equipment Sys ID,Equipment Type,Equipment Class / Code,Event Type,EV Project ID,EV Equipment Event ID,OFS Event ID,FSP project ID,xxx project id,FSR Number (#),Report Issued Date,Outage Start Date,Outage End Date,PDF Name / path / identifier
337X607,SY0089579,Generator,6FA,Call-Out,EVP-510352,EV-108798,10353272,FSP-298387,A-1628308 | C-10353272,,,14-Sep-20,21-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d69660-da52-4821-9696-60da52782186.pdf
337X607,SY0318268,Generator,6F,Call-Out,EVP-510352,EV-108798,10353272,FSP-298387,A-1628308 | C-10353272,,,14-Sep-20,21-12-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24d69660-da52-4821-9696-60da52782186.pdf
295505,SY0337613,Gas Turbine,61B,Major Inspection (MI),EVP-503918,EV-119965,10333314,FSP-237852,C-10333314,,,14-Aug-20,20-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24dc8053-1df9-4fe9-9c80-531df92fe9c0.pdf
295505,SY0337613,Gas Turbine,61B,Major Inspection (MI),EVP-503918,EV-119964,10333314,FSP-237852,C-10333314,,,14-Aug-20,20-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24dc8053-1df9-4fe9-9c80-531df92fe9c0.pdf
295505,SY0337613,Gas Turbine,61B,Major Inspection (MI),EVP-503918,EV-119966,10333314,FSP-237852,C-10333314,,,14-Aug-20,20-09-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/24dc8053-1df9-4fe9-9c80-531df92fe9c0.pdf
297914,SY0071040,Gas Turbine,7FA.04,Major Inspection (MI),,,,FSP-167660,A-1332226 | C-10305671,,,14-Oct-19,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/25cfe50f-6334-4e15-8fe5-0f6334ae154d.pdf
338X337,SY0072735,Generator,7FH2,Major Inspection (MI),,,,FSP-167660,A-1332226 | C-10305671,,,14-Oct-19,,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/25cfe50f-6334-4e15-8fe5-0f6334ae154d.pdf
290T239,SY0524951,Generator,7A6,On Site Services,EVP-511134,EV-115572,10355796,FSP-301490,C-10355796,,,17-Nov-20,11-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/25d2497a-4de0-43c4-9249-7a4de0e3c42e.pdf
336X391,SY0071702,Generator,7A6,On Site Services,EVP-511134,EV-115572,10355796,FSP-301490,C-10355796,,,17-Nov-20,11-11-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/25d2497a-4de0-43c4-9249-7a4de0e3c42e.pdf
GG10483,SY0484434,Generator,7FH2B,Major Inspection (Rotor Out),EVP-506479,EV-124701,10343436,FSP-284062,C-10343436,,,07-01-2020,28-02-2020,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/26174c19-f47d-43e6-974c-19f47d03e655.pdf
297526,SY0070635,Gas Turbine,71EA,Hot Gas Path Inspection (HGPI),EVP-505611,EV-116991,10339220,FSP-278310,A-1560012 | C-10339220,,,29-Sep-20,27-05-2021,/Volumes/vgpd/fsr_std_views/fsr_std_vol/FSR_After_2016/FSR_Databricks/273e798a-1823-4992-be79-8a1823299219.pdf
